ano,numero,gabarito,resposta_modelo,tem_imagem,motivo_erro,observacao,resposta_completa
2009,136,D,A,True,,,A) 25 min.
2009,137,E,D,False,,,Resposta: D
2009,139,A,C,True,,,Resposta: C
2009,143,D,C,True,,,Resposta: C
2009,145,C,A,True,,,A resposta é C.
2009,147,D,C,True,,,A resposta correcta é C.
2009,148,A,C,True,,,Resposta: C
2009,149,E,B,True,,,Resposta: B
2009,153,E,C,False,,,Resposta: C
2009,154,D,A,False,,,"A distância em metros que o paciente ainda deve caminhar para atingir o ponto mais alto da rampa é de 7,04 metros."
2009,155,D,E,True,,,Resposta: E
2009,156,D,C,False,,,"A resposta correta é:

D) V = 15.000 + 50x – x2."
2009,157,B,A,False,,,A resposta é C.
2009,159,E,C,True,,,A resposta correcta é E.
2009,161,D,A,False,,,Resposta: A
2009,162,A,C,False,,,Resposta: C
2009,163,B,D,False,,,Resposta: D
2009,164,E,A,True,,,"Para resolver essa questão, precisamos calcular a área do terreno e a área de extração de ouro.

A área do terreno retangular é:

Área = Largura x Comprimento
= 3 km x 2 km
= 6 km²

A área da área de extração de ouro é um quarto de círculo com raio 1 km. A área de um círculo com raio r é:

Área = πr²

Portanto, a área do quarto de círculo é:

Área = (1/4)π(1 km)²
= (1/4) × 3,14 km²
= 0,785 km²

Agora, precisamos calcular a área da parte do terreno que não faz parte da área de extração de ouro. Isso é igual à área total do terreno menos a área do quarto de cí"
2009,165,B,E,True,,,Resposta: E
2009,167,D,C,True,,,Resposta: C
2009,168,E,C,True,,,Resposta: C
2009,170,B,C,True,,,Resposta: C
2009,172,C,D,True,,,Resposta: D
2009,173,E,C,True,,,Resposta: C
2009,174,B,C,True,,,A resposta correta é A.
2009,177,E,D,False,,,Resposta: D
2009,178,C,D,True,,,Resposta: D
2009,179,B,C,False,,,Resposta: C
2010,136,C,A,True,,,A.
2010,137,E,A,True,,,A)
2010,138,E,C,True,,,"Para encontrar a razão entre o diâmetro aproximado do olho humano e o diâmetro do espelho primário do telescópio, precisamos dividir o diâmetro do espelho primário pelo diâmetro do olho humano.

Diâmetro do espelho primário: 42 m
Diâmetro do olho humano (suposto pela professora): 2,1 cm

Primeiro, convertemos o diâmetro do espelho primário para centímetros:
42 m = 4200 cm (pois 1 metro = 100 centímetros)

Agora, podemos calcular a razão:

Razão = Diâmetro do espelho primário ÷ Diâmetro do olho humano
= 4200 cm ÷ 2,1 cm
= 2000

Portanto, a resposta correta é:
Resposta: 1 : 200"
2010,139,B,C,True,,,A resposta correcta é a letra D.
2010,140,C,A,True,,,"A questão 140 do ENEM 2010 é uma questão de interpretação de dados. Para resolver, precisamos entender o contexto e as informações fornecidas.

O desmatamento médio por estado em 2009 está entre 100 km2 e 900 km2. Isso significa que a faixa de valores é muito ampla, então não podemos determinar um valor específico sem mais informações.

No entanto, se considerarmos o crescimento do desmatamento de 10,5% em relação aos dados de 2004, podemos inferir que os valores de 2009 são maiores que os de 2004. Portanto, a faixa de valores para 2009 é mais ampla do que a faixa de valores para 2004.

Com base nisso, não é possível determinar um valor específico para o desmatamento médio por estado em 2009. A questão não for"
